household_key,group,treatment,pre_active_days,pre_baskets,pre_sales,pre_quantity,recency,no_pre_purchase,pre_target_baskets,pre_target_sales,pre_target_quantity,pre_target_purchase,pre_coupon_redemptions,pre_campaign_count,target_sales,target_quantity,target_purchase,total_sales,baskets,any_purchase,target_sales_first30,target_quantity_first30,target_purchase_first30,total_sales_first30,baskets_first30,any_purchase_first30,target_sales_per_day,total_sales_per_day,p_score,match_id
6,처치,1,78.0,86.0,2008.22,47797.0,1.0,0,78.0,1262.95,618.0,1,0,2,249.08,94.0,1,493.46,24.0,1,150.6,59.0,1,344.01,16.0,1,5.1892,10.2804,0.9367342440020986,1
1479,대조,0,122.0,234.0,2730.02,32796.0,2.0,0,141.0,1123.49,454.0,1,0,0,386.33,164.0,1,880.34,70.0,1,207.8,93.0,1,529.75,43.0,1,8.0485,18.3404,0.9422986103711544,1
17,처치,1,26.0,32.0,1305.25,90349.0,34.0,0,24.0,744.59,344.0,1,0,3,181.76,79.0,1,236.28,5.0,1,128.72,67.0,1,169.27,4.0,1,3.7867,4.9225,0.8464587588638359,2
1211,대조,0,38.0,44.0,2288.17,86596.0,2.0,0,35.0,1230.65,340.0,1,0,2,287.14,84.0,1,663.51,9.0,1,74.89,23.0,1,214.61,4.0,1,5.9821,13.8231,0.8462092696044266,2
18,처치,1,42.0,47.0,1998.03,50381.0,8.0,0,38.0,798.2,338.0,1,2,1,261.3,104.0,1,549.35,12.0,1,168.38,64.0,1,360.14,7.0,1,5.4438,11.4448,0.8178954590551808,3
654,대조,0,41.0,45.0,620.83,286.0,3.0,0,39.0,268.66,132.0,1,0,2,36.07,26.0,1,72.22,14.0,1,16.85,12.0,1,32.55,7.0,1,0.7515,1.5046,0.8121007786973807,3
22,처치,1,36.0,41.0,1734.25,121507.0,2.0,0,31.0,752.94,279.0,1,6,5,209.89,65.0,1,441.14,10.0,1,134.42,40.0,1,272.19,6.0,1,4.3727,9.1904,0.9453084942256004,4
598,대조,0,50.0,60.0,1006.3,15149.0,4.0,0,46.0,558.09,272.0,1,0,5,166.79,85.0,1,337.65,17.0,1,116.79,55.0,1,261.01,14.0,1,3.4748,7.0344,0.9531913339738558,4
23,처치,1,33.0,35.0,766.19,62340.0,5.0,0,22.0,345.79,128.0,1,0,1,61.41,26.0,1,171.14,11.0,1,34.86,15.0,1,104.35,7.0,1,1.2794,3.5654,0.6365182808998959,5
1905,대조,0,24.0,25.0,514.5600000000001,182.0,8.0,0,15.0,264.93,104.0,1,0,2,19.85,7.0,1,31.72,3.0,1,12.86,6.0,1,24.73,2.0,1,0.4135,0.6608,0.635293175826472,5
